SUIVI DES INTERVENTIONS                                                                                                                                           ;;;;;;;;;;;;
N°;Prestataires;Type intervention;Mois;Année;Date début;Heure début;Date de fin;Heure de fin;Durée;Site;Travaux;Prochaine intervention
1;DSI;Planifiée;janvier;2024;30/01/2024;17:15;30/01/2024;19:30;02:15;Centrale;Installation d'un switch c1000 de 48P dans un coffret au niveau de la facturation;
2;COGITECH;Planifiée;Janvier;2024;31/01/2024;14:15;31/01/2024;16:30;02:15;Centrale;Installation de la Baie d'extension QNAP dans la salle de PRODUCTION;09/02/2024
3;DSI;Planifiée;janvier;2024;31/01/2024;14:30;31/01/2024;15:00;00:30;DAFCI;Deplacement d'une prise reseau d'un pint A a un autre point B dans le Bureau SAV;
4;DSI;Planifiée;janvier;2024;01/02/2024;12:20;01/02/2024;12:40;00:20;CA2P;Reconnexion au reseau des Balances de la charcuterie ;
5;DSI;Planifiée;Fevrier;2024;02/02/2024;13:15;02/02/2024;13:30;00:15;CA2P;Reconnexion au reseau de toutes les balances ;
6;DSI;Planifiée;Fevrier;2024;02/02/2024;13:30;02/02/2024;13:35;00:05;CA2P;Reconnexion de RadioShop a 'internet pour jouer la music dans tout le magasin;
7;DSI;Planifiée;Fevrier;2024;02/02/2024;13:40;02/02/2024;13:50;00:10;CA2P;Reconnexion de la caisse N°3 au Reseau ;
8;DSI;Planifiée;Fevrier;2024;13/02/2024;09:00;13/02/2024;09:15;00:15;sococe Zone 4;Redemarrage de l'entenne BLR du magasin;
9;DSI;Planifiée;Fevrier;2024;13/02/2024;09:30;13/02/2024;09:45;00:15;Cash Zone 4;Probleme d'electricité au frais ;
10;COGITECH;Planifiée;fevrier;2024;13/02/2024;09:00;13/02/2024;20:15;11:15;centrale/service exploitation;sauvegarde données utilisateurs Labo As400 suivie d'une restauration sur la partition Labo de la nouvelle infra. ;
11;COGITECH;Planifiée;Fevrier;2024;13/02/2024;09:00;13/02/2024;11:00;02:00;centrale/salle serveur;retrait des disque(11) de la baie d'extension QNAP dans la salle de PRODUCTION;
12;Manage Engine;Planifiée;Fevrier;2024;14/02/2024;13:00;14/02/2024;14:22;01:22;Téléassistance;Correction du bug empechant la modification des passwords et du déverouillage des comptes de l'AD;
13;CBI;Planifiée;Fevrier;2024;15/02/2024;13:00;25/02/2024;17:00;04:00;Téléassistance;Mise à jour du firmeware des clusters Nutanix;
14;COGITECH;Planifiée;Mars;2024;06/03/2024;10:00;06/03/2024;18:00;08:00;centrale/salle serveur;installation PTF pour PowerHA sur PROD et BACKUP, demarrage des services requis, configuration des options(creation cluster, etc.);
15;GBSS;Planifiée;Mai;2024;15/05/2024;09:00;15/05/2024;15:00;06:00;centrale;maintenance preventive imprimante matricielle;
16;GBSS;Planifiée;Mai;2024;16/05/2024;09:00;16/05/2024;15:00;06:00;DAFCI;maintenance preventive imprimante matricielle;
17;GBSS;Planifiée;Mai;2024;17/05/2024;09:00;17/05/2024;12:30;03:30;SAPRIM;maintenance preventive imprimante matricielle;
18;GBSS;Planifiée;Mai;2024;21/05/2024;09:00;21/05/2024;12:00;03:00;CAVA;maintenance preventive imprimante matricielle;
19;GBSS;Planifiée;Mai;2024;21/05/2024;13:00;21/05/2024;15:00;02:00;Achat frais et entrepôt frais;maintenance preventive imprimante matricielle;
20;GBSS;Planifiée;Mai;2024;21/05/2024;15:30;21/05/2024;16:30;01:00;DPH;maintenance preventive imprimante matricielle;
21;GBSS;Planifiée;Mai;2024;22/05/2024;09:30;22/05/2024;16:30;07:00;Achat frais ;detection de piece defaillante et apres plusieurs tentatives, l'imprimante a été remplacé par une secours pour permettre au service d'etre operationnel;
22;AWALE;depannage;Mai;2024;31/05/2024;07:00;31/05/2024;10:40;03:40;SuperU plateau;retablissement liaison vers la centrale;
23;AWALE;depannage;Mai;2024;04/06/2024;12:41;04/06/2024;14:00;01:19;Cash U toit rouge;retablissement liaison vers la centrale;
24;COGITECH;depannage;Decembre;2024;17/12/2024;15:43;;;###############################################################################################################################################################################################################################################################;;Baie QNAP d'extension HS, analyse des logs en cours;
25;PROSUMA;depannage;Decembre;2024;30/12/2024;09:13;30/12/2024;09:30;00:17;CA2P,Oeno-Faya, Oeno -Yop, ;Rupture lien awlale du Siège ;
